PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
3438 thibault  20   0  403636   8896   7864 S   0.0  0.2   0:00.01 gvfs-afc-v+
3439 thibault  20   0  924684  84460  50804 S   0.0  2.1   0:02.72 compiz
3445 thibault  20   0  271836   5704   5036 S   0.0  0.1   0:00.00 gvfs-gphot+
3460 thibault  20   0  259640   5052   4496 S   0.0  0.1   0:00.00 gvfs-mtp-v+
3481 thibault  20   0  350572   6296   5568 S   0.0  0.2   0:00.01 gvfsd-trash
3493 thibault  20   0  807820  49824  13396 S   0.0  1.2   0:00.11 evolution-+
3512 thibault  20   0  690588  20128  15460 S   0.0  0.5   0:00.04 evolution-+
3515 thibault  20   0 1062412  49748  13200 S   0.0  1.2   0:00.11 evolution-+
3561 thibault  20   0  766088  18420  15928 S   0.0  0.5   0:00.04 evolution-+
3562 root      20   0  308000  13204  10020 S   0.0  0.3   0:00.01 packagekitd
3586 thibault  20   0  493860  15964  13784 S   0.0  0.4   0:00.05 zeitgeist-+
3598 thibault  20   0    4508    708    632 S   0.0  0.0   0:00.00 sh
3605 thibault  20   0  410200   8656   5680 S   0.0  0.2   0:00.02 zeitgeist-+
3612 thibault  20   0  312748  14636  12148 D   0.0  0.4   0:00.03 zeitgeist-+
3721 thibault  20   0  659488  37328  28712 S   0.0  0.9   0:00.23 gnome-term+
3730 thibault  20   0   22752   5208   3240 S   0.0  0.1   0:00.03 bash
3744 cassand+  20   0    4508    148      0 S   0.0  0.0   0:00.00 cassandra
3749 cassand+  20   0    7304    684    608 S   0.0  0.0   0:00.00 head
3759 thibault  20   0   30964   2956   2708 D   0.0  0.1   0:00.00 logrotate
3760 thibault  20   0   41800   3696   3144 R   0.0  0.1   0:00.00 top
PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
2046 root      20   0   72888  21540   5820 R  11.0  0.5   0:00.45 apt-get
3439 thibault  20   0  925476  85244  50804 R   9.0  2.1   0:02.99 compiz
1292 root      20   0  454464  31116  20660 R   4.0  0.8   0:01.71 Xorg
3382 thibault  20   0  934168  50544  40452 S   3.7  1.3   0:01.23 nautilus
3769 thibault  20   0  693596  20300  15092 S   1.0  0.5   0:00.03 sublime_te+
3748 cassand+  20   0   19600   2920   2644 D   0.7  0.1   0:00.25 find
1 root      20   0  119772   6012   4068 S   0.3  0.2   0:01.73 systemd
4 root      20   0       0      0      0 S   0.3  0.0   0:00.05 kworker/0:0
7 root      20   0       0      0      0 R   0.3  0.0   0:00.17 rcu_sched
140 root      20   0       0      0      0 R   0.3  0.0   0:00.07 kworker/u4+
225 root      20   0       0      0      0 D   0.3  0.0   0:00.03 jbd2/sda1-8
689 root     -51   0       0      0      0 S   0.3  0.0   0:00.16 irq/30-iwl+
1123 message+  20   0   44360   5264   3568 S   0.3  0.1   0:00.49 dbus-daemon
2172 thibault  20   0   43744   4200   2872 S   0.3  0.1   0:00.28 dbus-daemon
2291 thibault  20   0  522636  26308  21780 S   0.3  0.7   0:00.25 bamfdaemon
2295 thibault  20   0  282724   6372   5616 S   0.3  0.2   0:00.02 gvfsd
2377 thibault  20   0   42900   4048   3584 S   0.3  0.1   0:00.02 dbus-daemon
2466 thibault  20   0  558448  14932  12756 S   0.3  0.4   0:00.10 gnome-sess+
2474 thibault  20   0  638080  31852  25984 S   0.3  0.8   0:00.31 unity-pane+
3481 thibault  20   0  350572   6296   5568 S   0.3  0.2   0:00.02 gvfsd-trash
3586 thibault  20   0  493860  15964  13784 S   0.3  0.4   0:00.06 zeitgeist-+
3721 thibault  20   0  659488  37328  28712 S   0.3  0.9   0:00.24 gnome-term+
3760 thibault  20   0   41800   3696   3144 R   0.3  0.1   0:00.01 top
2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
3 root      20   0       0      0      0 S   0.0  0.0   0:00.03 ksoftirqd/0
5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
6 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u4+
8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
9 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/0
10 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdog/0
11 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdog/1
12 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/1
13 root      20   0       0      0      0 S   0.0  0.0   0:00.04 ksoftirqd/1
14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0
15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
